ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
16425232,107100206,118130502,2,4,3
19377221,110040202,115030202,3,2,1
19597167,112070204,107010406,3,36,16
17662253,130000204,107070111,2,30,13
18669771,107010310,107160025,3,232,137
19816193,118130506,107020408,3,8,4
19523252,112040201,118130502,3,584,262
17487052,126060301,107040107,2,9,4
11824596,115020302,107020405,1,3,2
11004105,107070113,107110313,1,1547,1268
11631673,112040202,107080001,1,12,10
19206558,107130206,107110312,3,68,40
18874936,107050002,114000305,3,5,3
18605009,106000503,112020406,3,39,16
16359915,107090309,107100507,2,2376,1533
12666630,104000604,107110104,1,2,1
20499529,133220306,112050105,3,17,9
11325941,107130302,129020204,1,7,6
20763035,132120304,132110201,3,5648,2988
18485612,102020301,104000101,3,64,34
11700201,112070201,112060301,1,2340,1918
19804729,118130403,106000100,3,27,14
17097732,115030203,107020506,2,2,1
11822987,115020301,107020505,1,3,2
17080098,115020201,107110110,2,10,5
10634079,102030304,107020611,1,4,3
19499318,112020405,133200300,3,19,9
19068768,107100302,107160009,3,189,112
11416645,107160025,126020210,1,2,2
10632232,102030302,101030102,1,342,280
10918419,107020608,112080203,1,9,8
20567323,114000102,107090406,3,3,1
10857003,107020305,124020101,1,16,13
19526506,112040301,118140103,3,243,109
11243758,107110301,102020504,1,6,5
16197940,107020707,112010002,2,7,4
11740809,113010204,113020303,1,125,103
11750564,113010303,115020101,1,3,3
16544803,107120005,107100302,2,1470,948
16410145,107100112,107090414,2,2384,1538
20027102,126010202,107040105,3,34,14
19167214,107110320,102020201,3,37,22
17748571,133160202,112010001,2,24,14
19810656,118130502,133120104,3,2,1
13490357,107020307,107020117,4,491,403
19000713,107090404,110050203,3,18,10
11104559,107090402,107090301,1,524,430
12384768,130000102,115020103,1,27,19
13981979,107140012,107090111,4,37259,30540
12490122,133160204,112070105,1,4,3
11894785,118130100,112020201,1,70,57
20135787,127010108,107040208,3,2,1
11332282,107130306,126010105,1,7,6
18969364,107090205,102030403,3,92,54
17818636,133200202,124030201,2,18,11
18984866,107090305,124030306,3,14,8
16373491,107090406,126030404,2,2,2
18984002,107090305,106000402,3,365,216
18872502,107050001,107160004,3,260,154
17812960,133200104,107010309,2,2,1
18540415,102030501,124010302,3,80,42
20089079,126040203,110060101,3,4,2
11392312,107160009,126020207,1,5,4
15789708,101010103,131000201,2,20,13
16001327,107010112,107070113,2,660,426
20098439,126050105,107020601,3,20,8
10806810,107020109,126060105,1,8,7
18545346,103030101,126030301,3,6,3
18856617,107040201,118130509,3,13,8
19151666,107110310,112060206,3,9,5
16464350,107100503,126060301,2,5,3
18832615,107020709,133140402,3,7,4
16118461,107020305,112010001,2,82,53
19349728,110020103,118150102,3,71,29
16447799,107100308,112070102,2,5,3
11214980,107100511,107130102,1,347,284
20493040,133220302,112050104,3,6,3
20445453,133200105,107010208,3,4,2
10760601,107010212,107020705,1,669,548
11650381,112050202,133130202,1,5,4
19772831,118120403,112010005,3,41,21
16184361,107020611,102020303,2,6,4
19579572,112070101,107100401,3,8,4
18911232,107070303,107090106,3,1420,840
18494652,102020401,110050303,3,16,8
13519619,107020502,107020701,4,7,6
20465448,133210105,112020602,3,23,12
11063775,107090106,106000401,1,296,243
13212851,102020101,102020103,4,381540,312737
18951838,107090103,107100201,3,122,72
16846797,112020101,112060104,2,248,136
19921602,120000001,107020209,3,2,1
20275713,130000101,112060207,3,6,2
19348405,110020102,133140103,3,9,4
19955128,124010102,133220305,3,2,1
20313188,133120104,118140303,3,2,1
20290553,130000202,124010302,3,16,6
16233135,107040206,107010402,2,1678,1082
20079869,126040104,129010205,3,6,3
19938913,121000000,133220601,3,39,23
20376789,133160103,133170203,3,8063,4312
10983539,107060000,124030305,1,1122,920
11243118,107110205,126040302,1,17,14
20288630,130000201,112010008,3,27,11
19359635,110030000,127010603,3,4711,1899
